tweet_id,retweet_count,favorite_count
892420643555336193,7491,35483
892177421306343426,5559,30705
891815181378084864,3681,23088
891689557279858688,7669,38774
891327558926688256,8273,37039
891087950875897856,2770,18675
890971913173991426,1799,10857
890729181411237888,16780,59811
890609185150312448,3824,25690
890240255349198849,6513,29342
890006608113172480,6517,28263
889880896479866881,4435,25713
889665388333682689,8890,44199
889638837579907072,3973,24854
889531135344209921,2009,13974
889278841981685760,4740,23199
888917238123831296,3990,26821
888804989199671297,3763,23534
888554962724278272,3074,18150
888078434458587136,3083,20042
887705289381826560,4801,27881
887517139158093824,10472,42706
887473957103951883,15992,63219
887343217045368832,9359,31012
887101392804085760,5302,28214
886983233522544640,6800,32062
886736880519319552,2834,11007
886680336477933568,3988,20720
886366144734445568,2812,19458
886267009285017600,4,110
886258384151887873,5628,25752
886054160059072513,97,0
885984800019947520,5974,29984
885528943205470208,5685,33103
885518971528720385,3314,18858
885311592912609280,16443,0
885167619883638784,3882,20147
884925521741709313,16045,70878
884876753390489601,4957,25603
884562892145688576,4183,22381
884441805382717440,5076,24955
884247878851493888,18058,66720
884162670584377345,2661,18798
883838122936631299,3036,20105
883482846933004288,8783,42186
883360690899218434,3279,20879
883117836046086144,5914,34125
882992080364220416,3454,21991
882762694511734784,4342,26004
882627270321602560,5399,25803
882268110199369728,10304,41252
882045870035918850,4333,26993
881906580714921986,3027,22437
881666595344535552,9499,46671
881633300179243008,7,116
881536004380872706,14240,45545
881268444196462592,4712,21451
880935762899988482,2490,15761
880872448815771648,3412,19612
880465832366813184,5529,26211
880221127280381952,3700,24820
880095782870896641,3875,25447
879862464715927552,3102,20625
879674319642796034,10,292
879492040517615616,2831,21642
879415818425184262,39726,97458
879376492567855104,2789,15513
879130579576475649,6067,0
879050749262655488,4185,20778
879008229531029506,2387,17540
878776093423087618,3646,17861
878604707211726852,6300,27740
878404777348136964,1135,0
878316110768087041,5922,0
878281511006478336,1135,7131
878057613040115712,6067,38840
877736472329191424,16881,72997
877611172832227328,71,0
877556246731214848,3399,20938
877316821321428993,4654,25322
877201837425926144,4965,25014
876838120628539392,2979,19112
876537666061221889,4200,21909
876484053909872640,2113,17346
876120275196170240,4166,25855
875747767867523072,3819,23190
875144289856114688,4391,20280
875097192612077568,5447,25366
875021211251597312,4219,23586
874680097055178752,4151,25729
874434818259525634,13003,0
874296783580663808,3699,24088
874057562936811520,3566,21025
874012996292530176,9147,31649
873580283840344065,3540,22425
873337748698140672,1418,0
873213775632977920,1418,6628
872967104147763200,4864,25230
872820683541237760,3344,13649
872620804844003328,3273,19210
872486979161796608,8138,37783
872122724285648897,7284,31760
